Vehicle Body Type,Plate Type,Registration State,Vehicle Color,Vehicle Year,Vehicle Make
SDN,PAS,NY,SILVER,2013,MAZDA
SUBN,PAS,NY,SILVER,2016,ROVER
SUBN,PAS,NY,SILVER,2013,TOYOT
SDN,PAS,NY,SILVER,2005,CHEVR
SDN,PAS,NY,BLUE,2013,MAZDA
SUBN,PAS,NY,SILVER,2007,HYUND
SUBN,PAS,NY,RED,2008,PONTI
SUBN,PAS,NY,BLUE,2004,NISSA
SUBN,PAS,NY,OTHER,2012,VOLVO
SUBN,PAS,NY,GREY,2012,LEXUS
SDN,PAS,NY,BLUE,2015,KIA
SUBN,PAS,NY,SILVER,2006,CHEVR
SDN,PAS,NY,BLUE,2010,ACURA
SDN,PAS,NY,OTHER,1984,PORSC
SUBN,PAS,NY,GREEN,2015,SUBAR
SDN,PAS,TX,GREY,2016,AUDI
SUBN,PAS,NY,RED,2002,OLDSM
SUBN,PAS,NY,TAN,1997,JEEP
SUBN,PAS,NY,RED,2002,TOYOT
SUBN,PAS,CT,GREY,2012,TOYOT
SUBN,PAS,NY,OTHER,2016,WORKH
SUBN,PAS,NY,OTHER,1998,CHEVR
SUBN,PAS,NY,BLACK,2012,FORD
SUBN,PAS,NY,GREY,2013,FRUEH
SUBN,PAS,NY,SILVER,2004,CHEVR
SDN,PAS,NY,BLUE,2003,SATUR
SUBN,PAS,NY,GREY,2005,LEXUS
SUBN,PAS,NY,OTHER,2016,GMC
,PAS,NY,BLUE,2014,SUBAR
SUBN,PAS,NY,GREY,2016,AUDI
SDN,PAS,NY,BLUE,2009,TOYOT
VAN,PAS,NY,OTHER,2015,CHRYS
SUBN,PAS,NY,OTHER,2011,ISUZU
SUBN,PAS,NY,SILVER,2017,LEXUS
SDN,PAS,NY,GREY,2007,BUICK
SDN,PAS,NY,GREY,2012,HIN
SUBN,PAS,NY,RED,2012,KIA
SUBN,PAS,NY,BLUE,2017,LEXUS
SUBN,PAS,NY,TAN,2002,GMC
,PAS,CT,BLACK,2014,JEEP
,PAS,NY,BLUE,2015,SUBAR
SUBN,PAS,NY,OTHER,2013,AUDI
P-U,PAS,NY,BROWN,2011,FORD
SDN,PAS,NY,OTHER,2007,AUDI
SUBN,PAS,NY,BROWN,2014,TOYOT
SDN,PAS,NY,BROWN,2010,HYUND
SUBN,PAS,NY,BLUE,2010,TOYOT
SDN,PAS,NY,BROWN,2012,TOYOT
SUBN,PAS,NY,GREY,2003,MACK
SUBN,PAS,NY,OTHER,2015,VOLVO
VAN,PAS,NY,GREY,2016,PORSC
SDN,PAS,NY,BLUE,2001,SUBAR
VAN,PAS,PA,BLUE,2002,
P-U,PAS,NY,OTHER,1996,GMC
SDN,PAS,NY,OTHER,2008,SATUR
SUBN,PAS,NY,BLUE,2011,KIA
SUBN,PAS,NY,BLACK,2014,SUBAR
VAN,PAS,NY,GREY,2002,TOYOT
SDN,PAS,NY,RED,2001,JEEP
SUBN,PAS,NY,BLUE,2005,SUBAR
SDN,PAS,NY,BLACK,2002,MITSU
SUBN,PAS,NY,OTHER,2008,BUICK
SUBN,PAS,NY,RED,2010,
SDN,PAS,NY,GREY,2009,SATUR
SDN,PAS,NY,SILVER,2017,VOLKS
,PAS,NY,GREY,2013,HYUND
SDN,PAS,NY,BLACK,2011,MERCU
SUBN,PAS,NY,BLUE,2015,SUBAR
SDN,PAS,NY,TAN,1983,ME/BE
VAN,PAS,NY,OTHER,2013,
SUBN,PAS,NY,OTHER,2007,INTER
SUBN,PAS,NY,GREEN,2012,HONDA
SDN,PAS,NY,GREEN,2006,VOLKS
SUBN,PAS,NY,RED,2013,CHEVR
SDN,PAS,NY,BLUE,2008,FORD
SUBN,PAS,NY,OTHER,1997,CHEVR
SDN,PAS,NY,BROWN,2010,NISSA
PICK,PAS,NY,BROWN,1998,GMC
SDN,PAS,NY,RED,2017,JAGUA
SUBN,PAS,NY,OTHER,2011,KSA
SDN,PAS,NY,BROWN,2011,BMW
SUBN,PAS,NY,BROWN,2015,ACURA
PICK,PAS,NY,BLUE,2007,FORD
PICK,PAS,NY,GREY,2003,CHEVR
R,PAS,NY,OTHER,2007,PONTI
SUBN,PAS,NY,GREY,2005,VOLVO
VI,PAS,NY,RED,2005,DODGE
VAN,PAS,NY,GREY,2012,DODGE
SUBN,PAS,NY,GREY,2006,MAZDA
SUBN,PAS,NY,RED,2015,LINCO
SDN,PAS,NY,GREEN,1999,CHRYS
SUBN,PAS,NY,BLACK,2016,RA/LA
SDN,PAS,NY,BLUE,2016,MERCU
SDN,PAS,NY,BLACK,1996,LINCO
SDN,PAS,NY,OTHER,2016,JAGUA
SUBN,PAS,NY,TAN,2006,CHEVR
P-U,PAS,NY,BLACK,2012,TOYOT
VAN,PAS,NY,GREY,2014,NISSA
P-U,PAS,NY,OTHER,1999,FORD
SDN,PAS,NY,BLACK,1977,VOLVO
P-U,PAS,NY,BLUE,2001,FORD
SDN,PAS,NY,GREY,2012,MINI
P-U,PAS,NY,TAN,2003,FORD
,PAS,NY,OTHER,1993,CHEVR
SUBN,PAS,NY,GREEN,2016,LEXUS
SDN,PAS,NY,GREEN,2010,DODGE
SDN,PAS,NY,OTHER,2013,FIAT
SDN,PAS,NY,GREEN,2015,JEEP
SUBN,PAS,NY,GREEN,2017,AUDI
SUBN,PAS,NY,OTHER,2013,CHEVR
SDN,PAS,NY,BROWN,2008,SUBAR
SDN,PAS,NY,SILVER,2014,FORD
VAN,PAS,NY,GREEN,2003,GMC
SDN,PAS,NY,OTHER,1992,ACURA
SUBN,PAS,NY,OTHER,2017,MASE
SUBN,PAS,NY,BLACK,2011,INFIN
SDN,PAS,NY,GREEN,2011,MINI
SDN,PAS,NY,BLACK,2010,HYUND
U,PAS,NY,GREY,2014,JEEP
SDN,PAS,NY,GREY,2005,MERCU
SUBN,PAS,NY,GREY,2006,
SDN,PAS,NY,GREY,2011,CHEVR
SUBN,PAS,NY,BLUE,2008,AUDI
SDN,PAS,NY,BLUE,2010,AUDI
SDN,PAS,NY,BLACK,1997,BMW
SUBN,PAS,NY,OTHER,2016,CHRYS
VAN,PAS,NY,GREY,2005,LEXUS
SDN,PAS,NY,TAN,2011,CHEVR
SDN,PAS,NY,OTHER,2017,JAY
SDN,PAS,NY,OTHER,2015,MERCU
SUBN,PAS,NY,GREY,2015,HYUND
SDN,PAS,NY,BLACK,2005,MITSU
SUBN,PAS,NY,OTHER,2011,KIA
P-U,PAS,NY,OTHER,2015,DODGE
SDN,PAS,NY,BLACK,2016,ROVER
R,PAS,NY,RED,2016,MAZDA
VAN,PAS,NY,BLUE,2009,FORD
SDN,PAS,NY,GREY,2006,BUICK
SUBN,PAS,NY,TAN,2015,KIA
SDN,PAS,NY,RED,2006,CHEVR
SDN,PAS,NY,GREY,2015,SUBAR
SDN,PAS,NY,GREY,2008,FORD
SDN,PAS,NY,BROWN,1999,TOYOT
SUBN,PAS,NY,TAN,2005,NISSA
SUBN,PAS,NY,RED,2018,SUBAR
SDN,PAS,NY,BLUE,2011,MERCU
SDN,PAS,NY,TAN,2002,HONDA
SUBN,PAS,NY,GREEN,2008,KIA
SUBN,PAS,NY,GREY,1999,CHEVR
SDN,PAS,NY,GREY,2010,
SDN,PAS,NY,GREEN,1994,TOYOT
SUBN,PAS,NY,SILVER,2013,SUBAR
SDN,PAS,NY,BLACK,2008,LEXUS
SDN,PAS,NY,OTHER,2016,MINI
SUBN,PAS,NY,BLUE,2016,GMC
SUBN,PAS,NY,OTHER,2016,KIA
SUBN,PAS,NY,BLUE,2017,PORSC
SUBN,PAS,NY,RED,2004,CHEVR
SUBN,PAS,NY,BLUE,2007,DODGE
SUBN,PAS,NY,GOLD,1999,LEXUS
SDN,PAS,NY,RED,2014,KIA
P-U,PAS,NY,OTHER,2013,CHEVR
SUBN,PAS,NY,OTHER,2014,FRUEH
SDN,PAS,NY,BLUE,2009,AUDI
SDN,PAS,NY,BLUE,1984,OLDSM
SUBN,PAS,NY,GOLD,2003,HONDA
SDN,PAS,NY,BLUE,2017,LEXUS
SUBN,PAS,NY,SILVER,2011,TOYOT
SUBN,PAS,NY,SILVER,2014,HONDA
SUBN,PAS,NY,BLUE,2016,VOLKS
SDN,PAS,NY,BLUE,2001,JAGUA
NL,PAS,NY,BLACK,2014,HONDA
SDN,PAS,NY,SILVER,2012,INFIN
SUBN,PAS,NY,GREEN,2006,CHRYS
SDN,PAS,NY,OTHER,1999,BUICK
,PAS,NY,BLACK,2007,HONDA
SDN,PAS,NY,BROWN,2015,FORD
SDN,PAS,PA,BLACK,2004,LINCO
SDN,PAS,NY,GREY,2005,FORD
SDN,PAS,NY,BLUE,2017,
ACU,PAS,NY,BROWN,2015,DODGE
,PAS,NY,OTHER,2017,SMART
SUBN,PAS,NY,GOLD,2008,DODGE
I,PAS,NY,BLACK,2016,JEEP
SUBN,PAS,NY,SILVER,2010,KIA
SDN,PAS,NY,SILVER,2002,ACURA
SUBN,PAS,NY,OTHER,2001,MAZDA
P-U,PAS,NY,GREY,2009,NISSA
SDN,PAS,NY,BLUE,2006,MERCU
SDN,PAS,NY,BLUE,2011,FORD
SUBN,PAS,NY,GOLD,2001,HYUND
SUBN,PAS,NY,GREY,2010,VOLKS
SUBN,PAS,NY,SILVER,2015,KIA
SDN,PAS,NY,RED,1997,LINCO
SDN,PAS,NY,GREEN,2017,TOYOT
SDN,PAS,NY,BLUE,2012,TOYOT
SDN,PAS,NY,GOLD,2004,CHEVR
SUBN,PAS,NY,OTHER,2016,VOLKS
SDN,PAS,NY,BLUE,2009,NISSA
SUBN,PAS,NY,OTHER,2013,KIA
SUBN,PAS,NY,BLUE,2002,JEEP
SDN,PAS,NY,GREEN,2002,MAZDA
SUBN,PAS,NY,OTHER,2016,VOLVO
SUBN,PAS,NY,BLUE,2003,TOYOT
SUBN,PAS,NY,BLACK,1998,LINCO
SDN,PAS,NY,BLUE,2014,FIAT
,PAS,NY,GREY,2011,
SDN,PAS,NY,SILVER,2017,INFIN
SDN,PAS,NY,BROWN,2012,
SDN,PAS,NY,BLACK,2008,HYON
SDN,PAS,NY,TAN,2016,TOYOT
SUBN,PAS,NY,BLUE,2007,VOLVO
SDN,PAS,NY,TAN,1999,HONDA
SDN,PAS,NY,BLUE,2003,ACURA
SDN,PAS,NY,TAN,2016,NISSA
SDN,PAS,NY,BLACK,1995,ME/BE
SDN,PAS,NY,OTHER,2009,MERCU
SDN,PAS,PA,GREY,2007,LINCO
SDN,PAS,PA,GREY,2002,LINCO
SDN,PAS,PA,OTHER,2009,FORD
,PAS,NY,BLACK,2004,FORD
SDN,PAS,PA,GREY,2001,MERCU
SDN,PAS,MS,RED,2001,LINCO
SDN,PAS,NY,RED,2012,HYUND
SUBN,PAS,NY,GREY,2006,LINCO
SDN,PAS,NY,BLACK,2008,
SDN,PAS,NY,GREY,2016,ACURA
SUBN,PAS,NJ,OTHER,2017,NISSA
SUBN,PAS,NJ,BLACK,2016,JEEP
SDN,PAS,NY,OTHER,2003,DODGE
SUBN,PAS,NY,TAN,2006,BMW
VAN,PAS,NY,GREY,2003,DODGE
SMAR,PAS,NY,OTHER,2016,CARDG
SUBN,PAS,NY,RED,1998,
SDN,PAS,NY,OTHER,2001,MITSU
SUBN,PAS,NY,BLACK,2011,BUICK
SUBN,PAS,NY,OTHER,2009,LEXUS
SUBN,PAS,NY,OTHER,1972,CHRYS
SUBN,PAS,NY,RED,1995,JEEP
SUBN,PAS,NY,BLACK,2014,HYUND
SDN,PAS,NY,GOLD,2004,MERCU
SDN,PAS,NY,BLACK,1994,NISSA
SUBN,PAS,NY,BLUE,2016,MITSU
SDN,PAS,NY,GREY,2012,MERCU
SDN,PAS,NY,BROWN,2009,JEEP
SDN,PAS,PA,TAN,2003,MERCU
SUBN,PAS,NY,TAN,2001,HYUND
SDN,PAS,NY,BLUE,1998,VOLVO
SUBN,PAS,NY,BLUE,2007,BMW
SUBN,PAS,NY,BLACK,2017,AUDI
,PAS,NY,GREY,2012,VOLKS
SDN,PAS,NY,GREY,2006,VOLKS
SDN,PAS,NY,BLACK,2007,MITSU
SUBN,PAS,NY,TAN,2005,FORD
SDN,PAS,NY,GREY,2001,OLDSM
SDN,PAS,NY,RED,2008,CHEVR
SDN,PAS,NY,BLUE,2002,CHEVR
SUBN,PAS,NY,RED,2003,SUBAR
SUBN,PAS,NY,BROWN,2006,HONDA
SDN,PAS,NY,BLACK,2002,FORD
SDN,PAS,NY,BLUE,2013,HYUND
SDN,PAS,NY,BLUE,2010,BMW
SUBN,PAS,NY,BLUE,2003,
SUBN,PAS,NY,GREEN,2002,PONTI
SDN,PAS,NY,GREY,2015,CADIL
SDN,PAS,NY,BLACK,2005,VOLKS
SUBN,PAS,NY,GREY,2016,SUBAR
SDN,PAS,NY,GREEN,2016,AUDI
SDN,PAS,NY,BLUE,2015,BUICK
SDN,PAS,NY,SILVER,2013,SUBAR
PICK,PAS,NY,OTHER,2005,CHEVR
SUBN,PAS,NY,OTHER,2008,SATUR
SUBN,PAS,NY,SILVER,2012,HONDA
SUBN,PAS,NY,ORANGE,2015,JEEP
,PAS,NY,BLUE,2006,BMW
SDN,PAS,NY,BLUE,2013,AUDI
SDN,PAS,NY,GREEN,1999,VOLVO
VAN,PAS,NY,GREY,2017,HONDA
SUBN,PAS,NY,BLACK,2005,ACURA
SUBN,PAS,NY,OTHER,2017,LINCO
SUBN,PAS,NY,BLACK,2001,AUDI
TWOD,PAS,NY,BLUE,1984,CADIL
SDN,PAS,NY,TAN,2017,HYUND
VAN,PAS,NY,GREY,2016,ME/BE
SDN,PAS,NY,YELLOW,2016,HONDA
SDN,PAS,NY,RED,2015,LEXUS
SUBN,PAS,NY,BLACK,2015,ACUCA
SDN,PAS,NY,BROWN,2005,HONDA
SUBN,PAS,NY,BLUE,2005,KIA
SUBN,PAS,NY,BLUE,2012,BMW
SDN,PAS,NY,TAN,2004,BUICK
VAN,PAS,NY,GREY,2005,NISSA
SUBN,PAS,NY,GREY,2008,ROVER
SUBN,PAS,NY,OTHER,2007,KIA
SDN,PAS,NY,OTHER,1992,INFIN
SDN,PAS,NY,SILVER,2004,AUDI
SUBN,PAS,NY,SILVER,2016,LINCO
SUBN,PAS,NY,BLACK,2011,AURA
VAN,PAS,NY,BLUE,2016,HONDA
SUBN,PAS,NY,BLUE,2016,LEXUS
SUBN,PAS,NY,OTHER,2006,PORSC
SUBN,PAS,NY,GREY,2018,VOLKS
SUBN,PAS,NY,TAN,2001,FORD
SDN,PAS,NY,SILVER,2008,INFIN
SDN,PAS,NY,BLACK,2013,SUBAR
SUBN,PAS,NY,BLUE,2017,VOLKS
SDN,PAS,NY,BROWN,2011,TOYOT
SDN,PAS,NY,BLUE,2003,SUTUR
SUBN,PAS,NY,BLUE,2012,TOYOT
SUBN,PAS,NY,GREY,2013,INFIN
VAN,PAS,NY,BLUE,2004,FORD
VAN,PAS,NY,GREY,2014,TOYOT
VAN,PAS,NY,OTHER,1999,TOYOT
SUBN,PAS,PA,BLACK,2016,HYUND
SDN,PAS,NY,BLACK,2004,SUZUK
SUBN,PAS,NY,BROWN,2017,FORD
SUBN,PAS,NY,GREEN,2010,CHRYS
SUBN,PAS,NY,BROWN,2017,CADIL
SUBN,PAS,NY,GREEN,2010,LEXUS
P-U,PAS,NY,GREEN,2001,DODGE
P-U,PAS,NY,GREEN,2016,TOYOT
SUBN,PAS,NY,RED,2013,INTER
SUBN,PAS,NY,OTHER,2005,ACURA
SUBN,PAS,NY,OTHER,2010,JEEP
SDN,PAS,NY,BLACK,2007,SATUR
SUBN,PAS,NY,YELLOW,2002,HONDA
SDN,PAS,NY,RED,2012,VOLKS
SUBN,PAS,NY,BROWN,2017,TOYOT
SUBN,PAS,NY,BROWN,2005,I
SDN,PAS,NY,BROWN,2012,HYUND
SDN,PAS,NY,GREEN,2006,ME/BE
SUBN,PAS,NY,BROWN,2002,TOYOT
SUBN,PAS,NY,BROWN,2008,
SUBN,PAS,NY,BROWN,2002,FORD
SDN,PAS,NY,OTHER,2003,FORD
SUBN,PAS,NY,BROWN,2003,HONDA
P-U,PAS,NY,BROWN,2015,TOYOT
SDN,PAS,NY,BLACK,2015,INTER
SUBN,PAS,NY,BROWN,2013,ME/BE
SDN,PAS,NY,BROWN,2013,HYUND
SDN,PAS,NY,BLUE,2004,SUBAR
SUBN,PAS,NY,GREEN,2014,HONDA
SDN,PAS,NY,BROWN,2007,TOYOT
SDN,PAS,NY,BROWN,2015,VOLVO
,PAS,NY,BLUE,2008,TOYOT
SUBN,PAS,NY,TAN,2011,NISSA
SUBN,PAS,NY,OTHER,2006,LEXUS
SUBN,PAS,NY,SILVER,2006,BMW
SDN,PAS,NY,OTHER,2012,ACURA
SUBN,PAS,NY,GREY,2008,CHRYS
SUBN,PAS,NY,BROWN,2002,CHEVR
SDN,PAS,NY,BLUE,2015,JAGUA
SDN,PAS,NY,BLACK,2015,MITSU
SUBN,PAS,NY,GREEN,2003,SUBAR
PICK,PAS,NY,OTHER,2017,CHEVR
PICK,PAS,NY,GREY,2013,FORD
SUBN,PAS,NY,GREY,2006,VOLVO
SUBN,PAS,NY,OTHER,1989,ROVER
SDN,PAS,NY,OTHER,2012,LEXUS
SUBN,PAS,NY,GREY,2015,SUBAR
SUBN,PAS,NY,OTHER,2001,HYUND
PICK,PAS,NY,BLACK,2014,DODGE
SUBN,PAS,NY,GREY,2001,SAAB
VAN,PAS,NY,OTHER,2016,DODGE
SUBN,PAS,NY,GREEN,2017,SUBAR
TF,PAS,NY,GREY,2017,TESLA
SUBN,PAS,NY,RED,2017,CHRYS
SUBN,PAS,NY,BROWN,2017,ACURA
SDN,PAS,NY,BROWN,2015,ME/BE
SDN,PAS,NY,BROWN,2015,INTER
SUBN,PAS,NY,BROWN,2004,SUBAR
SDN,PAS,NY,BROWN,2016,LEXUS
SDN,PAS,NY,BROWN,2015,LEXUS
,PAS,NY,BROWN,2015,NISSA
SUBN,PAS,NY,BROWN,2017,ME/BE
SUBN,PAS,NY,GREY,1999,SUBAR
SUBN,PAS,NY,SILVER,2018,ROVER
SDN,PAS,RI,BLUE,2003,VOLKS
SDN,PAS,NY,OTHER,2004,CHEVR
SUBN,PAS,NY,SILVER,2008,NISSA
SDN,PAS,NY,RED,2011,ME/BE
VAN,PAS,NY,GREY,2009,HONDA
SDN,PAS,NY,SILVER,2005,BMW
VAN,PAS,NY,OTHER,2015,NISSA
,PAS,NY,GREY,2011,AUDI
SUBN,PAS,NY,OTHER,2007,ME
SUBN,PAS,NY,OTHER,2009,ME
VAN,PAS,NY,BLACK,2017,LEXUS
SUBN,PAS,NY,RED,2005,HYUND
SUBN,PAS,NY,BLACK,2004,TOYOT
VAN,PAS,NY,RED,2001,CHRYS
SUBN,PAS,NY,BLACK,2001,MERCU
PICK,PAS,NY,BLACK,2016,DODGE
SUBN,PAS,NY,BLACK,2005,MAZDA
SUBN,PAS,NY,GOLD,2004,MERCU
P-U,PAS,NY,GREY,2001,CHEVR
SUBN,PAS,NY,BLACK,2016,MINI
SDN,PAS,NY,GREEN,1999,CHEVR
SDN,PAS,NY,BLUE,2002,VOLKS
SDN,PAS,NY,GREEN,1998,NISSA
SUBN,PAS,NY,BLUE,2001,LEXUS
SUBN,PAS,NY,GREEN,2004,BMW
SDN,PAS,NY,GREY,2014,MINI
VAN,PAS,NY,OTHER,2016,CHEVR
PICK,PAS,NY,BLACK,2017,DODGE
SDN,PAS,NY,BLUE,2017,MASE
VAN,PAS,NY,SILVER,2004,NISSA
SUBN,PAS,NY,GREEN,2019,FORD
SUBN,PAS,NY,GREY,2001,AUDI
SUBN,PAS,NY,SILVER,2014,JEEP
SUBN,PAS,NY,GREY,2015,GMC
TWOD,PAS,NY,BLACK,2008,HONDA
SDN,PAS,NY,RED,2013,SMART
P-U,PAS,NY,SILVER,2017,DODGE
SDN,PAS,NY,BLACK,2010,CADIL
SDN,PAS,NY,GREEN,2003,HONDA
SUBN,PAS,NY,BLUE,2016,MINI
SUBN,PAS,NY,BLUE,2007,SATUR
SUBN,PAS,NY,GREEN,2009,JEEP
SUBN,PAS,NY,OTHER,2006,BMW
SDN,PAS,NY,OTHER,2001,TOYOT
VAN,PAS,NY,GREY,2014,KIA
SUBN,PAS,NY,BLACK,2003,LINCO
SUBN,PAS,NY,RED,2014,FORD
P-U,PAS,NY,BLUE,2011,GMC
SUBN,PAS,NY,GREY,2002,NISSA
SDN,PAS,NY,OTHER,2013,MITSU
SUBN,PAS,NY,OTHER,2004,CHRYS
P-U,PAS,NY,GREY,2008,TOYOT
SDN,PAS,NY,GOLD,2010,HYUND
SDN,PAS,NY,OTHER,2009,CADIL
SUBN,PAS,NY,BROWN,2016,JEEP
SUBN,PAS,NY,RED,2014,CHEVR
SDN,PAS,NY,BLUE,1994,HONDA
SDN,PAS,NY,SILVER,2008,ME/BE
SUBN,PAS,NY,RED,2002,SUBAR
SUBN,PAS,NY,RED,2003,HYUND
SUBN,PAS,NY,BLUE,2009,HONDA
CONV,PAS,NY,OTHER,2002,BMW
SUBN,PAS,NY,RED,2003,MITSU
P-U,PAS,NY,GREY,2014,TOYOT
SDN,PAS,NY,SILVER,2005,FORD
P-U,PAS,NY,OTHER,2001,FORD
P-U,PAS,NY,BLACK,2004,TOYOT
SUBN,PAS,NY,GOLD,2002,SUBAR
SUBN,PAS,NY,SILVER,2005,ACURA
SUBN,PAS,NY,BLUE,2017,DODGE
SDN,PAS,NY,ORANGE,2007,MINI
SUBN,PAS,NY,BLACK,2002,VOLKS
SUBN,PAS,NY,GREEN,2002,CHEVR
SDN,PAS,NY,BLUE,2012,VOLKS
SUBN,PAS,NY,BLACK,2009,KIA
NI,PAS,NY,OTHER,1994,TOYOT
SDN,PAS,NY,GREY,2012,DODGE
SDN,PAS,NY,GOLD,2002,HONDA
SUBN,PAS,MD,OTHER,2017,BMW
SDN,PAS,NY,OTHER,1988,OLDSM
VAN,PAS,NY,OTHER,1977,DODGE
SDN,PAS,NY,OTHER,2018,ME/BE
SDN,PAS,NY,RED,2012,PORSC
SUBN,PAS,NY,SILVER,2007,SAAB
,PAS,NY,OTHER,2011,KIA
SDN,PAS,NY,RED,2008,SAAB
,PAS,NY,SILVER,2015,NISSA
P-U,PAS,NY,BLACK,2014,FORD
SDN,PAS,NY,TAN,1998,NISSA
P-U,PAS,NY,OTHER,2014,HONDA
SDN,PAS,NY,OTHER,2009,INFIN
SDN,PAS,PA,GREY,2008,MERCU
SDN,PAS,NY,GREY,1994,TOYOT
SUBN,PAS,NY,BROWN,2008,GMC
SUBN,PAS,NY,RED,1997,PLYMO
SDN,PAS,NY,BLUE,2007,LINCO
SDN,PAS,NY,TAN,2009,BMW
SUBN,PAS,NY,GOLD,2001,HONDA
SUBN,PAS,NY,GOLD,2005,GMC
SDN,PAS,NY,GREY,1997,MERCU
SUBN,PAS,NY,TAN,2012,FORD
SUBN,PAS,NY,GREEN,1979,MERCU
SDN,PAS,NY,GREY,2008,PETER
SUBN,PAS,NY,OTHER,2009,ACURA
SDN,PAS,NY,BLACK,2002,BMW
SDN,PAS,NY,RED,1989,VOLVO
SDN,PAS,NY,RED,2015,HYUND
P-U,PAS,NY,BLACK,2006,TOYOT
SUBN,PAS,NY,BLACK,1999,FORD
SDN,PAS,NJ,GREY,2010,PORSC
SDN,PAS,NY,BLACK,2001,ME/BE
,PAS,NJ,GREEN,1997,HONDA
SUBN,PAS,NJ,BLUE,2006,
SDN,PAS,NJ,BLACK,2008,CHEVR
SDN,PAS,NY,BLUE,2002,CHYIS
SDN,PAS,NJ,GREY,2016,TOYOT
FOUR,PAS,NY,BLACK,2015,CHEVR
SDN,PAS,PA,OTHER,2001,BMW
SDN,PAS,NY,BLACK,2012,JAGUA
SDN,PAS,PA,OTHER,2014,CHRYS
SUBN,PAS,NY,TAN,2001,NISSA
TWOD,PAS,NY,BLACK,2005,HONDA
SDN,PAS,NJ,GREY,2004,HONDA
,PAS,NY,OTHER,1999,ROVER
SUBN,PAS,NY,RED,2004,HONDA
SUBN,PAS,NJ,BLACK,2013,HONDA
SUBN,PAS,PA,OTHER,2007,BMW
SDN,PAS,NJ,BLACK,2012,NISSA
SDN,PAS,NJ,GREY,2006,NISSA
SUBN,PAS,NY,BLACK,1998,MAZDA
VAN,PAS,NY,OTHER,2001,CHRYS
VAN,PAS,NY,BLUE,2004,HONDA
SUBN,PAS,NY,BLUE,2010,MITSU
SDN,PAS,NY,BLUE,1996,BMW
SUBN,PAS,NY,GREEN,1998,LINCO
SUBN,PAS,NY,GREY,2011,HYUND
SDN,PAS,NY,GREY,2009,INTER
SDN,PAS,NY,RED,2010,ME/BE
P-U,PAS,NY,OTHER,1998,FORD
P-U,PAS,NY,BLACK,2014,TOYOT
P-U,PAS,NY,GREY,2001,FORD
SDN,PAS,NY,RED,1996,ACURA
SDN,PAS,NY,RED,2008,CADIL
SDN,PAS,NY,TAN,2009,NISSA
SDN,PAS,NY,RED,1995,HONDA
SUBN,PAS,NY,BLACK,2003,BMW
JGR,PAS,PA,SILVER,2008,CHEVR
SUBN,PAS,NY,PURPL,2017,TOYOT
SUBN,PAS,NY,OTHER,2006,CADIL
P-U,PAS,NY,BROWN,2016,CHEVR
SDN,PAS,NY,GREY,2014,INTER
SUBN,PAS,NY,OTHER,2016,BUICK
SDN,PAS,NY,OTHER,2014,AUDI
SDN,PAS,NY,BLACK,2007,JEEP
SDN,PAS,NY,GREY,2004,AUDI
VAN,PAS,NY,BLACK,2016,FORD
SDN,PAS,NY,BLACK,2013,JEEP
SUBN,PAS,NY,BLACK,2013,RANGO
VAN,PAS,NY,BLUE,2003,PONTI
SDN,PAS,NY,PURPL,2003,ACURA
SUBN,PAS,NY,GOLD,2009,JEEP
SDN,PAS,GA,GREY,2014,INFIN
SUBN,PAS,NY,OTHER,2008,
SUBN,PAS,NY,BLACK,2006,CHEVR
SUBN,PAS,NY,BLUE,2006,PONTI
SDN,PAS,NY,GREEN,2015,INFIN
SUBN,PAS,NY,OTHER,2005,MERCU
SDN,PAS,NY,BLACK,2009,HYUND
SUBN,PAS,NY,SILVER,2002,ROVER
SDN,PAS,NY,YELLOW,2002,NISSA
SUBN,PAS,NY,BLACK,2001,GMC
VAN,PAS,NY,GREEN,2002,DODGE
,PAS,NY,BLACK,2020,POLAR
SDN,PAS,NY,TAN,2003,CHEVR
VAN,PAS,NY,OTHER,2005,CHRYS
SDN,PAS,NY,RED,2014,TOYOT
SDN,PAS,NY,GREY,2010,MITSU
SDN,PAS,NY,SILVER,2006,LEXUS
SDN,PAS,NY,BROWN,2013,HONDA
SUBN,PAS,NY,BLACK,2003,
SUBN,PAS,NY,BLACK,2008,SUBAR
SDN,PAS,NY,RED,2007,DODGE
SDN,PAS,NY,OTHER,2003,CHEVR
SDN,PAS,NY,RED,2005,MERCU
SUBN,PAS,NY,RED,2006,ROVER
SDN,PAS,NY,BLUE,2002,DODGE
VAN,PAS,NY,GREEN,2001,MERCU
P-U,PAS,NY,OTHER,2017,TOYOT
PICK,PAS,NY,BLACK,2016,TOYOT
SUBN,PAS,NY,SILVER,2016,FORD
SDN,PAS,NY,PURPL,1997,NISSA
CONV,PAS,NY,GREY,2008,AUDI
SUBN,PAS,NY,RED,2001,ACURA
SUBN,PAS,NY,TAN,2006,CHRYS
SDN,PAS,NY,SILVER,2001,LEXUS
SUBN,PAS,NY,BLUE,2003,SUBAR
SUBN,PAS,NY,GREY,2013,KIA
SDN,PAS,NY,RED,2003,INFIN
VAN,PAS,NY,BLACK,2014,AUDI
SUBN,PAS,NY,SILVER,2015,ROVER
SDN,PAS,NY,GREEN,2013,NISSA
SUBN,PAS,NY,BLUE,2012,HYUND
SUBN,PAS,NY,BLUE,2012,INFIN
SDN,PAS,NY,RED,2013,FORD
